p,next_p,gap,log_x,z_gap_over_logx
40759,40763,4,10.615431953178978,0.37680991387280566
40973,40993,20,10.620668592170619,1.8831206177305702
41077,41081,4,10.623203633138218,0.3765342488138254
41141,41143,2,10.62476047015509,0.18823953778703925
41233,41243,10,10.62699418560542,0.9409998561536146
41281,41299,18,10.62815762466823,1.6936143248592337
41453,41467,14,10.632315534301455,1.3167404555323707
41521,41539,18,10.633954602328156,1.6926910705504752
41761,41771,10,10.639718168629964,0.9398745193725053
41849,41851,2,10.64182318076953,0.1879377213872648
41863,41879,16,10.642157660894972,1.5034545164457234
42139,42157,18,10.648728956654207,1.6903425820367144
42193,42197,4,10.650009609487778,0.3755865155686356
42197,42209,12,10.650104407449692,1.126749517272907
42209,42221,12,10.650388747427439,1.1267194357481605
42331,42337,6,10.653274957143324,0.5632070911655978
42487,42491,4,10.656953425768018,0.3753417923670555
42683,42689,6,10.661555993479634,0.5627696373465059
42821,42829,8,10.66478391544408,0.7501324043157495
42923,42929,6,10.66716309178561,0.562473822549913
43013,43019,6,10.669257674565925,0.5623633979993934
43117,43133,16,10.671672629878687,1.4992963666448118
43283,43291,8,10.675515227199446,0.7493783512778216
43517,43541,24,10.68090694533025,2.2470001960360615
43913,43933,20,10.689965682788792,1.8709133961206892
44041,44053,12,10.69287629720916,1.1222424786801282
44101,44111,10,10.694237736914808,0.9350830088133902
44179,44189,10,10.696004842041615,0.9349285221612929
44207,44221,14,10.696638426567144,1.3088224021135768
44281,44293,12,10.698310970126737,1.1216723867447875
44389,44417,28,10.700746969978026,2.6166397615565242
44483,44491,8,10.702862372693247,0.747463596318944
45137,45139,2,10.717457588260444,0.18661142192815722
46567,46573,6,10.748647414747458,0.5582097698886117
46663,46679,16,10.750706838407863,1.4882742354054868
46751,46757,6,10.752590924862394,0.5580050465908322
46877,46889,12,10.755282429029183,1.1157308122017555
47041,47051,10,10.75877484084995,0.929473861840759
47407,47417,10,10.766525176104544,0.9288047755829535
47507,47513,6,10.768632347586125,0.5571738180238782
47657,47659,2,10.771784802805005,0.185670252108935
47869,47881,12,10.776223392258185,1.113562661351378
48163,48179,16,10.782346370401418,1.4839070690514584
48397,48407,10,10.787193107312595,0.9270252141144151
48437,48449,12,10.788019263461779,1.112345066034792
48733,48751,18,10.794111697661032,1.6675758509985037
49043,49057,14,10.800452743290393,1.2962419569584502
49477,49481,4,10.809263194110516,0.370052974765146
49667,49669,2,10.813096007646362,0.18496090283353833
49669,49681,12,10.813136275021739,1.1097612843111861
50033,50047,14,10.820438066706068,1.2938478011419225
50423,50441,18,10.828202699170179,1.6623257340185766
50581,50587,6,10.83133129068886,0.553948525714276
50651,50671,20,10.832714252818556,1.8462593522944828
50707,50723,16,10.83381924711004,1.4768568346078008
50849,50857,8,10.83661573559995,0.7382378590502908
51137,51151,14,10.842263584629356,1.2912432805864673
