window,midpoint,count,mean_gap,mean_expected,mean_residual,mae,rmse,relative_drift,model
3,87590.32500000001,2197,11.376422394173874,11.40335911618125,-0.026936722007375888,6.741602323308307,8.842864434901296,0.5911944239081309,affine_log
4,112587.275,2141,11.67211583372256,11.65476923853463,0.017346595187927444,6.891570018462209,9.258981820735855,0.5913090064174188,affine_log
5,137584.225,2116,11.810018903591683,11.854604592929444,-0.04458568933776252,6.840965377416391,8.994362113789288,0.5770724214198265,affine_log
6,162581.175,2068,12.088007736943908,12.020883382153901,0.06712435479000632,7.118187331578089,9.675042793588418,0.5921517666618152,affine_log
7,187578.125,2069,12.086031899468342,12.163502252445259,-0.07747035297691693,7.269845097755395,9.7498155062309,0.5976769639923337,affine_log
8,212575.075,2032,12.298228346456693,12.28820418275174,0.010024163704954014,7.268390183085983,9.903538063805122,0.5914932788379456,affine_log
9,237572.02500000002,2029,12.319369147363233,12.39902580065066,-0.07965665328742769,7.244107175464773,9.546920413744063,0.5842480927077857,affine_log
10,262568.975,1991,12.561526870919137,12.498630428358487,0.06289644256065004,7.473522788927645,9.898081513892846,0.5979473376515528,affine_log
11,287565.92500000005,1957,12.769545222278998,12.588417610510923,0.18112761176807432,7.7704438981376995,10.520065315920867,0.6172693136307799,affine_log
12,312562.875,2012,12.420477137176938,12.671773428326093,-0.25129629114915436,7.5420451606991445,9.962796486705718,0.5951846600918455,affine_log
13,337559.825,1968,12.715447154471544,12.748292320602662,-0.03284516613111877,7.586007623932647,10.047124747496781,0.5950606899461203,affine_log
14,362556.775,1928,12.952282157676349,12.81913183310605,0.13315032457029835,7.798506972683514,10.77368782964056,0.6083490734172402,affine_log
15,387553.725,1955,12.791815856777493,12.88571860794875,-0.09390275117125628,7.6140085551921155,10.072167867872254,0.5908873836881166,affine_log
16,412550.67500000005,1918,13.02919708029197,12.9481827256738,0.08101435461817114,7.845474270359703,10.477353181380064,0.6059131568172582,affine_log
17,437547.625,1928,12.971991701244812,13.006140843073107,-0.03414914182829258,7.884420046835705,10.354320403061921,0.6062074939804176,affine_log
18,462544.575,1910,13.080628272251309,13.061739886330185,0.01888838592112308,7.638125394403992,10.106960431975956,0.5847709004217502,affine_log
19,487541.525,1920,13.015625,13.113889713469721,-0.09826471346972109,7.737212838657663,10.255161757722734,0.5900013655529304,affine_log
20,512538.47500000003,1906,13.117523609653725,13.163741702725297,-0.046218093071570106,7.826179649953713,10.425663092910888,0.5945254644683171,affine_log
21,537535.425,1879,13.30814262905801,13.210871102516746,0.0972715265412636,8.2447336483503,11.14447649457881,0.6240870556052607,affine_log
22,562532.375,1880,13.28936170212766,13.256179223547143,0.033182478580518544,8.183891882175683,10.913748222341184,0.6173643056695037,affine_log
23,587529.325,1894,13.204857444561775,13.299238550243425,-0.09438110568165076,8.053913639568067,10.469868060651933,0.6055920877831499,affine_log
24,612526.275,1888,13.236228813559322,13.340735765560959,-0.10450695200163922,8.129561087323983,10.947482697011782,0.6093787651735374,affine_log
25,637523.2250000001,1846,13.556879739978331,13.380848800680228,0.17603093929810526,8.380986455093046,11.236250128817353,0.6263419144730931,affine_log
26,662520.175,1853,13.475445223961144,13.418900922255894,0.05654430170525059,8.072893229026983,10.573705592771013,0.6016061431408067,affine_log
27,687517.125,1858,13.454251883745963,13.4555241997949,-0.0012723160489356337,8.115327287399321,10.772052555511396,0.6031223434255368,affine_log
28,712514.075,1875,13.3408,13.491105597367165,-0.15030559736716592,8.013662783738447,10.605985018941409,0.5939960017288977,affine_log
