label_type,label,count,mean_z,std_z,median_z,q90_z,q95_z,residual_l1,residual_l2,positive_residual_mass,negative_residual_mass,js_divergence,tail_prob_z_gt_1,tail_prob_z_gt_2,tail_prob_z_gt_3,tail_prob_z_gt_4,tail_prob_z_gt_5,window_index,left,right,midpoint,anchor_mod30
anchor_mod30_by_window,23,2688,1.123015979361104,0.7920765666075124,1.0507153690563733,1.9818287537461796,2.737216303890919,1.4030360037149423,1.3005033883522228,0.7015180018574713,-0.7015180018574713,0.3632350252836268,0.5301339285714286,0.0900297619047619,0.026785714285714284,0.010044642857142858,0.0033482142857142855,16,383876,665484,505433.80969618564,23
anchor_mod30_by_window,29,2669,0.9179702768379626,0.7431033156066583,0.901116744920145,1.815530392605212,2.4010357926900876,1.3787918379296564,1.292332754510945,0.6893959189648283,-0.6893959189648283,0.34555232378823136,0.38179093293368305,0.0775571375046834,0.024353690520794304,0.0026227051330086175,0.0014986886474334957,16,383876,665484,505433.80969618564,29
anchor_mod30_by_window,1,4470,1.11668358274698,0.7689842113585664,0.8711689590993017,2.1586837553296716,2.9013692518709724,1.3645126885242491,1.2142763593051429,0.6822563442621247,-0.6822563442621247,0.34339364711037945,0.4051454138702461,0.1483221476510067,0.03959731543624161,0.008277404921700223,0.0017897091722595079,17,665484,1153676,876215.110109384,1
anchor_mod30_by_window,7,4431,0.9252923618932124,0.794780962197279,0.725021778855867,2.1564738077276107,2.5837958467408635,1.3093165325629943,1.2356360471669001,0.6546582662814974,-0.6546582662814974,0.3223951757715776,0.2913563529677274,0.10381403746332657,0.025502143985556308,0.005867749943579328,0.0022568269013766643,17,665484,1153676,876215.110109384,7
anchor_mod30_by_window,11,4436,0.8556427028056852,0.8061292800234242,0.5780559126816134,2.04453397302922,2.3662471947216197,1.3424305289435285,1.2757695554886224,0.6712152644717645,-0.6712152644717644,0.32872023264523936,0.29035166816952207,0.10009017132551848,0.022091974752028856,0.008340847610459874,0.001352569882777277,17,665484,1153676,876215.110109384,11
anchor_mod30_by_window,13,4456,0.9826074883914842,0.8387022620709733,0.7238200516189945,2.0823083859992035,2.519297175618645,1.3811316534133864,1.2843297661279682,0.6905658267066933,-0.6905658267066933,0.3483542561352522,0.39070915619389585,0.14497307001795331,0.02423698384201077,0.01144524236983842,0.002468581687612208,17,665484,1153676,876215.110109384,13
anchor_mod30_by_window,17,4444,0.9470981094386732,0.8522605181920617,0.8673345729028055,2.1566399616586125,2.5969364236940673,1.3701353338516742,1.28597179738058,0.6850676669258371,-0.6850676669258372,0.34306946095684665,0.3955895589558956,0.10148514851485149,0.03622862286228623,0.009225922592259225,0.0024752475247524753,17,665484,1153676,876215.110109384,17
anchor_mod30_by_window,19,4458,1.130344479163002,0.8316890251642376,0.8711578676058724,2.0865400820670623,2.514018971051614,1.3530727371862992,1.1872053810867556,0.6765363685931496,-0.6765363685931496,0.3390669630639628,0.4107222969941678,0.1509645580978017,0.0338716913414087,0.010094212651413189,0.003589053387169134,17,665484,1153676,876215.110109384,19
anchor_mod30_by_window,23,4444,1.1092964838379833,0.7848853975715804,1.0115670410668778,1.9337585680886296,2.646494125487977,1.4653387573911092,1.3977804656345623,0.7326693786955548,-0.7326693786955548,0.38186452205938237,0.5443294329432943,0.0963096309630963,0.0315031503150315,0.009225922592259225,0.0027002700270027003,17,665484,1153676,876215.110109384,23
anchor_mod30_by_window,29,4449,0.9379453297847792,0.7853667062396025,0.8677603911737148,1.7896650219814556,2.723653111090546,1.3643047191285118,1.2955289518094557,0.682152359564256,-0.6821523595642559,0.3431193939130519,0.39604405484378513,0.09979770734996629,0.03483928972802877,0.003821083389525736,0.0013486176668914363,17,665484,1153676,876215.110109384,29
