x,observed_count,prime_count,density_drift,name,scenario
160453,7382,14721,0.4985395013925684,missing_keep_50,missing
179138,8142,16260,0.4992619926199262,missing_keep_50,missing
200000,8992,17984,0.5,missing_keep_50,missing
100,5,25,0.8,missing_keep_25,missing
111,5,29,0.8275862068965517,missing_keep_25,missing
124,6,30,0.8,missing_keep_25,missing
139,7,34,0.7941176470588235,missing_keep_25,missing
155,7,36,0.8055555555555556,missing_keep_25,missing
173,10,40,0.75,missing_keep_25,missing
193,12,44,0.7272727272727273,missing_keep_25,missing
216,13,47,0.723404255319149,missing_keep_25,missing
241,15,53,0.7169811320754716,missing_keep_25,missing
269,16,57,0.7192982456140351,missing_keep_25,missing
300,18,62,0.7096774193548387,missing_keep_25,missing
335,18,67,0.7313432835820896,missing_keep_25,missing
375,23,74,0.6891891891891891,missing_keep_25,missing
418,24,80,0.7,missing_keep_25,missing
467,29,91,0.6813186813186813,missing_keep_25,missing
521,30,98,0.6938775510204082,missing_keep_25,missing
582,32,106,0.6981132075471698,missing_keep_25,missing
650,35,118,0.7033898305084746,missing_keep_25,missing
726,37,128,0.7109375,missing_keep_25,missing
810,39,140,0.7214285714285714,missing_keep_25,missing
905,40,154,0.7402597402597403,missing_keep_25,missing
1010,43,169,0.7455621301775148,missing_keep_25,missing
1128,48,188,0.7446808510638298,missing_keep_25,missing
1259,54,205,0.7365853658536585,missing_keep_25,missing
1406,56,222,0.7477477477477478,missing_keep_25,missing
1570,59,247,0.7611336032388664,missing_keep_25,missing
1753,65,273,0.7619047619047619,missing_keep_25,missing
1957,73,297,0.7542087542087542,missing_keep_25,missing
2185,78,327,0.7614678899082569,missing_keep_25,missing
2439,89,361,0.7534626038781164,missing_keep_25,missing
2724,98,397,0.7531486146095718,missing_keep_25,missing
3041,111,436,0.7454128440366973,missing_keep_25,missing
3395,125,478,0.7384937238493724,missing_keep_25,missing
3790,135,526,0.7433460076045627,missing_keep_25,missing
4232,151,580,0.7396551724137931,missing_keep_25,missing
4725,159,637,0.750392464678179,missing_keep_25,missing
5275,172,699,0.753934191702432,missing_keep_25,missing
