source,sample,mode,incremental_error_reduction
iid_shuffle,35,3,0.19279836699832897
iid_shuffle,35,4,0.13661223369086278
iid_shuffle,35,5,0.10885803230365498
iid_shuffle,35,6,0.060666178501160045
iid_shuffle,35,7,0.0961351932968968
iid_shuffle,35,8,1.2821370205337124e-15
iid_shuffle,36,1,0.26812233420158804
iid_shuffle,36,2,0.2696586504131361
iid_shuffle,36,3,0.09018805559904869
iid_shuffle,36,4,0.10348677408750839
iid_shuffle,36,5,0.10729662229887965
iid_shuffle,36,6,0.13614617504270904
iid_shuffle,36,7,0.025101388357129162
iid_shuffle,36,8,1.3038297920421173e-16
iid_shuffle,37,1,0.2598713407690342
iid_shuffle,37,2,0.1939481381845174
iid_shuffle,37,3,0.2320930355141222
iid_shuffle,37,4,0.10138115567152484
iid_shuffle,37,5,0.09114604985310024
iid_shuffle,37,6,0.10314577797521546
iid_shuffle,37,7,0.01841450203248473
iid_shuffle,37,8,1.8534308940229607e-18
iid_shuffle,38,1,0.20435730026445742
iid_shuffle,38,2,0.23622862947094037
iid_shuffle,38,3,0.11276055376386723
iid_shuffle,38,4,0.13341202142058128
iid_shuffle,38,5,0.11031548401881608
iid_shuffle,38,6,0.06815609728095226
iid_shuffle,38,7,0.13476991378038383
iid_shuffle,38,8,3.8940069344719737e-16
iid_shuffle,39,1,0.2333940721977027
iid_shuffle,39,2,0.20220474838349933
iid_shuffle,39,3,0.15663682624436953
iid_shuffle,39,4,0.12658379931837915
iid_shuffle,39,5,0.14031303395892672
iid_shuffle,39,6,0.13588457105091067
iid_shuffle,39,7,0.004982948846210807
iid_shuffle,39,8,8.105412043334403e-17
iid_shuffle,40,1,0.16231168092192227
iid_shuffle,40,2,0.16090896861073867
iid_shuffle,40,3,0.16766721023536402
iid_shuffle,40,4,0.18454657390117163
iid_shuffle,40,5,0.20532264353605478
iid_shuffle,40,6,0.11142154775606457
iid_shuffle,40,7,0.007821375038682812
iid_shuffle,40,8,1.9652612109863847e-16
iid_shuffle,41,1,0.2775416066848827
iid_shuffle,41,2,0.18613374712045472
iid_shuffle,41,3,0.140697069796003
iid_shuffle,41,4,0.14524122555009267
iid_shuffle,41,5,0.09439716591951594
iid_shuffle,41,6,0.08027524013139535
iid_shuffle,41,7,0.07571394479765434
iid_shuffle,41,8,4.067551438947551e-16
iid_shuffle,42,1,0.36058922157503903
iid_shuffle,42,2,0.20266593306931935
iid_shuffle,42,3,0.12437246990643142
iid_shuffle,42,4,0.11453246656407717
iid_shuffle,42,5,0.09168009536875929
iid_shuffle,42,6,0.037219551206226456
iid_shuffle,42,7,0.06894026231014662
iid_shuffle,42,8,1.7779626316908848e-17
iid_shuffle,43,1,0.3043990325400284
iid_shuffle,43,2,0.17575834069337282
iid_shuffle,43,3,0.2131254581380369
iid_shuffle,43,4,0.09164378221811079
iid_shuffle,43,5,0.09539415643938096
iid_shuffle,43,6,0.09200124184322817
iid_shuffle,43,7,0.02767798812784117
iid_shuffle,43,8,1.771045872983727e-17
iid_shuffle,44,1,0.17727079032142767
iid_shuffle,44,2,0.2091709811661311
iid_shuffle,44,3,0.15052880841733585
iid_shuffle,44,4,0.1646623327274147
iid_shuffle,44,5,0.11678169298482435
iid_shuffle,44,6,0.1510239944792375
iid_shuffle,44,7,0.030561399903627783
iid_shuffle,44,8,6.081496383405351e-17
iid_shuffle,45,1,0.2602005181986299
iid_shuffle,45,2,0.24268095051725858
