state_n,state_n_plus_1,state_n_plus_2,empirical_P_c_given_ab,first_order_P_c_given_b,delta,abs_delta,support_count_ab
1,6,5,0.11525550167847819,0.12598721323805942,-0.010731711559581233,0.010731711559581233,2681
6,2,4,0.11865793780687398,0.10793531402783,0.010722623779043969,0.010722623779043969,2444
0,1,1,0.06264053967234179,0.07328211465105035,-0.01064157497870856,0.01064157497870856,3113
3,2,4,0.11839246922519914,0.10793531402783,0.01045715519736913,0.01045715519736913,2762
0,7,4,0.1391629806056482,0.1287203180401848,0.01044266256546339,0.01044266256546339,2939
5,5,6,0.11065943992773261,0.12109815720195562,-0.010438717274223006,0.010438717274223006,2214
5,1,4,0.09987515605493133,0.11029925321012196,-0.010424097155190631,0.010424097155190631,2403
0,6,7,0.10393374741200828,0.1143286949981196,-0.010394947586111314,0.010394947586111314,2415
4,7,4,0.139041966935142,0.1287203180401848,0.010321648894957208,0.010321648894957208,2359
1,3,3,0.12388943731490622,0.1135765325310267,0.010312904783879515,0.010312904783879515,2026
6,2,0,0.10842880523731588,0.09815720195562241,0.010271603281693464,0.010271603281693464,2444
4,5,6,0.1109857035364936,0.12109815720195562,-0.010112453665462012,0.010112453665462012,2658
5,0,0,0.05205116894574327,0.06210379284409584,-0.01005262389835257,0.01005262389835257,2267
6,1,1,0.06340378197997776,0.07328211465105035,-0.00987833267107259,0.00987833267107259,2697
2,6,1,0.13505863323898099,0.144898726696395,-0.009840093457414018,0.009840093457414018,2473
6,7,6,0.10338345864661654,0.11319436982916084,-0.009810911182544305,0.009810911182544305,2128
4,4,1,0.11950336264873254,0.10976199430505561,0.009741368343676934,0.009741368343676934,1933
7,4,6,0.10141903171953255,0.11110514156772149,-0.009686109848188934,0.009686109848188934,2396
1,4,5,0.15245981490501706,0.14280341696663623,0.009656397938380828,0.009656397938380828,2053
6,4,0,0.14098201263976665,0.15059367109009833,-0.009611658450331684,0.009611658450331684,2057
6,4,5,0.1332036947010209,0.14280341696663623,-0.00959972226561534,0.00959972226561534,2057
1,6,4,0.12010443864229765,0.1105141567721485,0.009590281870149153,0.009590281870149153,2681
0,4,4,0.113345521023766,0.10385214634932574,0.009493374674440253,0.009493374674440253,2735
7,5,0,0.13128893148059415,0.12179659377854188,0.009492337702052267,0.009492337702052267,2087
