candidate,bin_left,bin_right,score,scenario,kind,stage
59341,56251,62501,0.9246053308581661,mixed_keep_75_noise_25,mixed,density_reconstruction
84751,81251,87501,0.9244079211811566,mixed_keep_75_noise_25,mixed,density_reconstruction
21211,18751,25001,0.9243870027117197,mixed_keep_75_noise_25,mixed,density_reconstruction
34939,31251,37501,0.9240009982417347,mixed_keep_75_noise_25,mixed,density_reconstruction
189977,187500,193750,0.9236306165217704,mixed_keep_75_noise_25,mixed,density_reconstruction
97441,93751,100001,0.9236186298490572,mixed_keep_75_noise_25,mixed,density_reconstruction
102953,100001,106250,0.9231339782975762,mixed_keep_75_noise_25,mixed,density_reconstruction
146617,143750,150000,0.9224609790716486,mixed_keep_75_noise_25,mixed,density_reconstruction
189961,187500,193750,0.9218405295080353,mixed_keep_75_noise_25,mixed,density_reconstruction
165331,162500,168750,0.921404190319598,mixed_keep_75_noise_25,mixed,density_reconstruction
197137,193750,200000,0.9212956423920378,mixed_keep_75_noise_25,mixed,density_reconstruction
190357,187500,193750,0.9212157277263177,mixed_keep_75_noise_25,mixed,density_reconstruction
71917,68751,75001,0.9210925214751714,mixed_keep_75_noise_25,mixed,density_reconstruction
190297,187500,193750,0.9210491207444855,mixed_keep_75_noise_25,mixed,density_reconstruction
153407,150000,156250,0.9208970816359701,mixed_keep_75_noise_25,mixed,density_reconstruction
21649,18751,25001,0.9196858049226998,mixed_keep_75_noise_25,mixed,density_reconstruction
122117,118750,125000,0.9196763006883091,mixed_keep_75_noise_25,mixed,density_reconstruction
109379,106250,112500,0.9194777942614666,mixed_keep_75_noise_25,mixed,density_reconstruction
90217,87501,93751,0.9193192492846642,mixed_keep_75_noise_25,mixed,density_reconstruction
108739,106250,112500,0.9185145244056708,mixed_keep_75_noise_25,mixed,density_reconstruction
40771,37501,43751,0.9182398909114764,mixed_keep_75_noise_25,mixed,density_reconstruction
34019,31251,37501,0.9182258008941079,mixed_keep_75_noise_25,mixed,density_reconstruction
47431,43751,50001,0.9172131682841534,mixed_keep_75_noise_25,mixed,density_reconstruction
135077,131250,137500,0.9166794960870289,mixed_keep_75_noise_25,mixed,density_reconstruction
