window_index,window_midpoint,bin_left,bin_right,bin_center,density
6,4241.9181761792515,2.8000000000000003,3.0,2.9000000000000004,0.06802721088435384
6,4241.9181761792515,3.0,3.2,3.1,0.01700680272108842
6,4241.9181761792515,3.2,3.4000000000000004,3.3000000000000003,0.01700680272108842
6,4241.9181761792515,3.4000000000000004,3.6,3.5,0.06802721088435384
6,4241.9181761792515,3.6,3.8000000000000003,3.7,0.01700680272108842
6,4241.9181761792515,3.8000000000000003,4.0,3.9000000000000004,0.0
6,4241.9181761792515,4.0,4.2,4.1,0.0
6,4241.9181761792515,4.2,4.4,4.300000000000001,0.0
6,4241.9181761792515,4.4,4.6000000000000005,4.5,0.0
6,4241.9181761792515,4.6000000000000005,4.800000000000001,4.700000000000001,0.0
6,4241.9181761792515,4.800000000000001,5.0,4.9,0.0
6,4241.9181761792515,5.0,5.2,5.1,0.0
6,4241.9181761792515,5.2,5.4,5.300000000000001,0.0
6,4241.9181761792515,5.4,5.6000000000000005,5.5,0.0
6,4241.9181761792515,5.6000000000000005,5.800000000000001,5.700000000000001,0.0
6,4241.9181761792515,5.800000000000001,6.0,5.9,0.0
6,4241.9181761792515,6.0,6.2,6.1,0.0
6,4241.9181761792515,6.2,6.4,6.300000000000001,0.0
6,4241.9181761792515,6.4,6.6000000000000005,6.5,0.0
6,4241.9181761792515,6.6000000000000005,6.800000000000001,6.700000000000001,0.0
6,4241.9181761792515,6.800000000000001,7.0,6.9,0.0
6,4241.9181761792515,7.0,7.2,7.1,0.0
6,4241.9181761792515,7.2,7.4,7.300000000000001,0.0
6,4241.9181761792515,7.4,7.6000000000000005,7.5,0.0
6,4241.9181761792515,7.6000000000000005,7.800000000000001,7.700000000000001,0.0
6,4241.9181761792515,7.800000000000001,8.0,7.9,0.0
7,7538.616631334574,0.0,0.2,0.1,0.0
7,7538.616631334574,0.2,0.4,0.30000000000000004,0.7055214723926381
7,7538.616631334574,0.4,0.6000000000000001,0.5,0.6952965235173821
7,7538.616631334574,0.6000000000000001,0.8,0.7000000000000001,1.1963190184049082
7,7538.616631334574,0.8,1.0,0.9,0.41922290388548067
7,7538.616631334574,1.0,1.2000000000000002,1.1,0.5010224948875251
7,7538.616631334574,1.2000000000000002,1.4000000000000001,1.3000000000000003,0.5010224948875257
7,7538.616631334574,1.4000000000000001,1.6,1.5,0.20449897750511253
7,7538.616631334574,1.6,1.8,1.7000000000000002,0.12269938650306751
7,7538.616631334574,1.8,2.0,1.9,0.1124744376278119
7,7538.616631334574,2.0,2.2,2.1,0.14314928425357862
7,7538.616631334574,2.2,2.4000000000000004,2.3000000000000003,0.11247443762781176
7,7538.616631334574,2.4000000000000004,2.6,2.5,0.05112474437627818
7,7538.616631334574,2.6,2.8000000000000003,2.7,0.09202453987730053
7,7538.616631334574,2.8000000000000003,3.0,2.9000000000000004,0.0
7,7538.616631334574,3.0,3.2,3.1,0.020449897750511228
7,7538.616631334574,3.2,3.4000000000000004,3.3000000000000003,0.07157464212678931
7,7538.616631334574,3.4000000000000004,3.6,3.5,0.020449897750511276
7,7538.616631334574,3.6,3.8000000000000003,3.7,0.020449897750511228
7,7538.616631334574,3.8000000000000003,4.0,3.9000000000000004,0.010224948875255638
7,7538.616631334574,4.0,4.2,4.1,0.0
7,7538.616631334574,4.2,4.4,4.300000000000001,0.0
7,7538.616631334574,4.4,4.6000000000000005,4.5,0.0
7,7538.616631334574,4.6000000000000005,4.800000000000001,4.700000000000001,0.0
7,7538.616631334574,4.800000000000001,5.0,4.9,0.0
7,7538.616631334574,5.0,5.2,5.1,0.0
7,7538.616631334574,5.2,5.4,5.300000000000001,0.0
7,7538.616631334574,5.4,5.6000000000000005,5.5,0.0
7,7538.616631334574,5.6000000000000005,5.800000000000001,5.700000000000001,0.0
7,7538.616631334574,5.800000000000001,6.0,5.9,0.0
7,7538.616631334574,6.0,6.2,6.1,0.0
7,7538.616631334574,6.2,6.4,6.300000000000001,0.0
7,7538.616631334574,6.4,6.6000000000000005,6.5,0.0
7,7538.616631334574,6.6000000000000005,6.800000000000001,6.700000000000001,0.0
7,7538.616631334574,6.800000000000001,7.0,6.9,0.0
7,7538.616631334574,7.0,7.2,7.1,0.0
7,7538.616631334574,7.2,7.4,7.300000000000001,0.0
7,7538.616631334574,7.4,7.6000000000000005,7.5,0.0
7,7538.616631334574,7.6000000000000005,7.800000000000001,7.700000000000001,0.0
7,7538.616631334574,7.800000000000001,8.0,7.9,0.0
8,13397.415592165522,0.0,0.2,0.1,0.0
8,13397.415592165522,0.2,0.4,0.30000000000000004,0.6388206388206388
8,13397.415592165522,0.4,0.6000000000000001,0.5,0.7248157248157245
8,13397.415592165522,0.6000000000000001,0.8,0.7000000000000001,1.105651105651106
8,13397.415592165522,0.8,1.0,0.9,0.4361179361179362
8,13397.415592165522,1.0,1.2000000000000002,1.1,0.4361179361179357
8,13397.415592165522,1.2000000000000002,1.4000000000000001,1.3000000000000003,0.4852579852579854
8,13397.415592165522,1.4000000000000001,1.6,1.5,0.2641277641277642
8,13397.415592165522,1.6,1.8,1.7000000000000002,0.17813267813267816
8,13397.415592165522,1.8,2.0,1.9,0.21498771498771502
8,13397.415592165522,2.0,2.2,2.1,0.12285012285012274
8,13397.415592165522,2.2,2.4000000000000004,2.3000000000000003,0.09828009828009819
8,13397.415592165522,2.4000000000000004,2.6,2.5,0.08599508599508612
