candidate,method,bin_left,bin_right,score,scenario,kind,gap_score,neighbor_score,density_score
22067,density_only,18751,25001,0.9694408699344182,mixed_keep_75_noise_25,mixed,,,
109567,density_only,106250,112500,0.969279367415844,mixed_keep_75_noise_25,mixed,,,
3319,density_only,2,6251,0.9691945489075726,mixed_keep_75_noise_25,mixed,,,
172069,density_only,168750,175000,0.9689599440929061,mixed_keep_75_noise_25,mixed,,,
102931,density_only,100001,106250,0.9688750199633474,mixed_keep_75_noise_25,mixed,,,
177929,density_only,175000,181250,0.9686403011531615,mixed_keep_75_noise_25,mixed,,,
159179,density_only,156250,162500,0.9686391161743542,mixed_keep_75_noise_25,mixed,,,
115429,density_only,112500,118750,0.9686373098623914,mixed_keep_75_noise_25,mixed,,,
102929,density_only,100001,106250,0.968557620393229,mixed_keep_75_noise_25,mixed,,,
40823,density_only,37501,43751,0.9684817416072247,mixed_keep_75_noise_25,mixed,,,
115823,density_only,112500,118750,0.9683214304517731,mixed_keep_75_noise_25,mixed,,,
40427,density_only,37501,43751,0.9681604368491471,mixed_keep_75_noise_25,mixed,,,
65827,density_only,62501,68751,0.9678412503446683,mixed_keep_75_noise_25,mixed,,,
72077,density_only,68751,75001,0.9678399267508493,mixed_keep_75_noise_25,mixed,,,
140827,density_only,137500,143750,0.9676802570002605,mixed_keep_75_noise_25,mixed,,,
184577,density_only,181250,187500,0.9676795797359573,mixed_keep_75_noise_25,mixed,,,
40423,density_only,37501,43751,0.9675206217121145,mixed_keep_75_noise_25,mixed,,,
21673,density_only,18751,25001,0.9675189576063891,mixed_keep_75_noise_25,mixed,,,
65423,density_only,62501,68751,0.9675188418765361,mixed_keep_75_noise_25,mixed,,,
134171,density_only,131250,137500,0.9673603944843067,mixed_keep_75_noise_25,mixed,,,
127921,density_only,125000,131250,0.9673602115105236,mixed_keep_75_noise_25,mixed,,,
97081,density_only,93751,100001,0.9671988603856438,mixed_keep_75_noise_25,mixed,,,
146669,density_only,143750,150000,0.9670393514411153,mixed_keep_75_noise_25,mixed,,,
34583,density_only,31251,37501,0.9668790964337065,mixed_keep_75_noise_25,mixed,,,
127913,density_only,125000,131250,0.9660803235154953,mixed_keep_75_noise_25,mixed,,,
34589,density_only,31251,37501,0.9659208668640485,mixed_keep_75_noise_25,mixed,,,
72089,density_only,68751,75001,0.9659199062407449,mixed_keep_75_noise_25,mixed,,,
140839,density_only,137500,143750,0.9657616448014198,mixed_keep_75_noise_25,mixed,,,
147089,density_only,143750,150000,0.9657610659710187,mixed_keep_75_noise_25,mixed,,,
102911,density_only,100001,106250,0.965675454693953,mixed_keep_75_noise_25,mixed,,,
90841,density_only,87501,93751,0.9656003805227781,mixed_keep_75_noise_25,mixed,,,
