transition,anchor_residue,next_residue,z_center,empirical_pdf,exp_pdf,delta
7->17,7,17,0.5571428571428572,0.0,0.574442700865141,-0.574442700865141
7->17,7,17,0.6428571428571428,0.0,0.5272559315136365,-0.5272559315136365
7->17,7,17,0.7285714285714286,8.13494694960212,0.48394525145437756,7.651001698147743
7->17,7,17,0.8142857142857143,1.8645004420866487,0.4441922649080403,1.4203081771786084
7->17,7,17,0.9,0.5067418213969944,0.40770473025859444,0.09903709113839998
7->17,7,17,0.9857142857142857,0.1818081343943415,0.3742144116571816,-0.19240627726284013
7->17,7,17,1.0714285714285714,0.05028735632183902,0.34347510710290213,-0.29318775078106313
7->17,7,17,1.157142857142857,0.027077807250221075,0.3152608385040695,-0.2881830312538484
7->17,7,17,1.2428571428571429,0.023209549071618003,0.28936419041427874,-0.26615464134266076
7->17,7,17,1.3285714285714287,0.007736516357206022,0.2655947852306119,-0.2578582688734059
7->17,7,17,1.4142857142857141,0.0,0.24377788364449285,-0.24377788364449285
7->17,7,17,1.5,0.003868258178603001,0.22375310005649293,-0.21988484187788992
7->17,7,17,1.5857142857142859,0.007736516357206022,0.2053732235115413,-0.1976367071543353
7->17,7,17,1.6714285714285715,0.0,0.18850313548671466,-0.18850313548671466
7->17,7,17,1.7571428571428571,0.003868258178603011,0.17301881657579302,-0.16915055839719
7->17,7,17,1.842857142857143,0.0,0.1588064347682837,-0.1588064347682837
7->17,7,17,1.9285714285714286,0.0,0.14576150862045373,-0.14576150862045373
7->17,7,17,2.0142857142857142,0.0,0.1337881391664733,-0.1337881391664733
7->17,7,17,2.0999999999999996,0.0,0.12279830492311432,-0.12279830492311432
7->17,7,17,2.185714285714286,0.0,0.11271121480527316,-0.11271121480527316
7->17,7,17,2.2714285714285714,0.0,0.10345271419531782,-0.10345271419531782
7->17,7,17,2.357142857142857,0.0,0.09495473980001322,-0.09495473980001322
7->17,7,17,2.442857142857143,0.0,0.08715481928744107,-0.08715481928744107
7->17,7,17,2.5285714285714285,0.0,0.07999561202552476,-0.07999561202552476
7->17,7,17,2.6142857142857143,0.0,0.07342448754592751,-0.07342448754592751
7->17,7,17,2.7,0.0,0.06739313863442749,-0.06739313863442749
7->17,7,17,2.7857142857142856,0.21275419982316504,0.061857226203427235,0.1508969736197378
7->17,7,17,2.8714285714285714,0.2204907161803722,0.05677605333590008,0.16371466284447211
7->17,7,17,2.9571428571428573,0.11217948717948703,0.052112266104527814,0.060067221074959216
7->17,7,17,3.0428571428571427,0.09670645446507502,0.04783157896661976,0.048874875498455254
7->17,7,17,3.1285714285714286,0.05802387267904532,0.043902522716071216,0.014121349962974102
7->17,7,17,3.2142857142857144,0.038682581786030006,0.040296213139445945,-0.0016136313534159397
7->17,7,17,3.3,0.027077807250221006,0.0369861386754717,-0.009908331425250695
7->17,7,17,3.385714285714286,0.015473032714412005,0.03394796551694117,-0.01847493280252916
7->17,7,17,3.4714285714285715,0.011604774535809062,0.03115935872223703,-0.019554584186427967
7->17,7,17,3.557142857142857,0.007736516357206002,0.0285998180213932,-0.020863301664187196
7->17,7,17,3.6428571428571432,0.0,0.026250527109631196,-0.026250527109631196
7->17,7,17,3.7285714285714286,0.003868258178603021,0.024094215320462204,-0.020225957141859183
7->17,7,17,3.814285714285714,0.003868258178603001,0.02211503066145294,-0.01824677248284994
7->17,7,17,3.9000000000000004,0.0,0.02029842327928616,-0.02029842327928616
7->17,7,17,3.9857142857142858,0.0,0.01863103849741608,-0.01863103849741608
7->17,7,17,4.071428571428571,0.0,0.017100618639991582,-0.017100618639991582
7->17,7,17,4.157142857142857,0.0,0.01569591292031223,-0.01569591292031223
7->17,7,17,4.242857142857143,0.0,0.014406594731367297,-0.014406594731367297
7->17,7,17,4.328571428571429,0.0,0.013223185730424613,-0.013223185730424613
7->17,7,17,4.414285714285715,0.0,0.012136986159581541,-0.012136986159581541
7->17,7,17,4.5,0.0,0.011140010890034115,-0.011140010890034115
7->17,7,17,4.585714285714285,0.0,0.010224930719897714,-0.010224930719897714
7->17,7,17,4.671428571428572,0.0,0.009385018494033781,-0.009385018494033781
7->17,7,17,4.757142857142857,0.0,0.008614099649785918,-0.008614099649785918
7->17,7,17,4.842857142857143,0.015473032714411923,0.007906506825065263,0.00756652588934666
7->17,7,17,4.928571428571429,0.011604774535809062,0.007257038195089519,0.004347736340719543
7->17,7,17,5.014285714285714,0.0,0.0066609192314905025,-0.0066609192314905025
7->17,7,17,5.1,0.0077365163572059616,0.006113767602664896,0.0016227487545410653
7->17,7,17,5.185714285714286,0.0,0.005611560957335133,-0.005611560957335133
7->17,7,17,5.271428571428571,0.003868258178603021,0.005150607354483377,-0.0012823491758803562
7->17,7,17,5.357142857142858,0.0038682581786029808,0.004727518122275987,-0.0008592599436730063
7->17,7,17,5.442857142857143,0.0,0.0043391829464526546,-0.0043391829464526546
7->17,7,17,5.5285714285714285,0.0,0.00398274700504392,-0.00398274700504392
7->17,7,17,5.614285714285714,0.0,0.0036555899813244695,-0.0036555899813244695
7->17,7,17,5.7,0.003868258178603021,0.0033553068007171737,0.0005129513778858474
7->17,7,17,5.785714285714286,0.0,0.0030796899500364562,-0.0030796899500364562
7->17,7,17,5.871428571428572,0.0,0.0028267132490919456,-0.0028267132490919456
7->17,7,17,5.957142857142857,0.0,0.0025945169553504453,-0.0025945169553504453
7->19,7,19,0.04285714285714286,0.0,0.9607229454284076,-0.9607229454284076
7->19,7,19,0.12857142857142856,0.0,0.8818057410347337,-0.8818057410347337
7->19,7,19,0.21428571428571427,0.0,0.8093710768769816,-0.8093710768769816
