window_left,window_right,window_mid,density_error,gap_drift,instability,gap_multiplier,density_multiplier,w_density,w_gap,w_neighbor,scenario,kind
10002,20002,15002.0,0.013552758954501452,0.5694258415061831,0.3192829543579264,1.5587451701263713,0.6415416831212555,0.27179060362366225,0.5869919661482996,0.14121743022803818,biased_low_missing_high_noise,biased_range
15002,25002,20002.0,0.008928571428571428,0.5604549675914953,0.31226808931817956,1.5464691563068143,0.646634299767181,0.27462516328918263,0.583808388520003,0.14156644819081443,biased_low_missing_high_noise,biased_range
20002,30002,25002.0,0.004069175991861648,0.5625300212528792,0.31122264088542134,1.5446396215494873,0.6474002000523991,0.27505094185513895,0.5833308639002105,0.14161819424465064,biased_low_missing_high_noise,biased_range
25002,35002,30002.0,0.006185567010309278,0.5796659523545216,0.32159977894962605,1.5627996131618456,0.6398773019765515,0.27086291599864615,0.5880355972204959,0.14110148678085788,biased_low_missing_high_noise,biased_range
30002,40002,35002.0,0.011482254697286013,0.5744474916036164,0.32111313499576777,1.5619479862425936,0.6402261847435714,0.27105742712280684,0.587816705393671,0.1411258674835222,biased_low_missing_high_noise,biased_range
35002,45002,40002.0,0.012725344644750796,0.5630681296974193,0.31541387642371843,1.5519742837415071,0.6443405734721294,0.27334921450037053,0.5852404683711242,0.14141031712850538,biased_low_missing_high_noise,biased_range
40002,50002,45002.0,0.005376344086021506,0.5766415798965807,0.3195722237818291,1.559251391618201,0.6413334022823566,0.2716745470873577,0.5871224810415734,0.14120297187106898,biased_low_missing_high_noise,biased_range
45002,55002,50002.0,0.0054585152838427945,0.5772786647405251,0.3199595974850181,1.5599292955987818,0.6410546957618025,0.27151923309957654,0.5872971648902423,0.14118360201018126,biased_low_missing_high_noise,biased_range
50002,60002,55002.0,0.008658008658008658,0.5698118952527077,0.3172926462850932,1.555262130998913,0.6429784279243785,0.2725909048982131,0.586092324554148,0.141316770547639,biased_low_missing_high_noise,biased_range
55002,65002,60002.0,0.008869179600886918,0.5862954518852674,0.3264536293572962,1.5712938513752683,0.6364181970958228,0.26893290253649144,0.5902095587341442,0.14085753872936443,biased_low_missing_high_noise,biased_range
60002,70002,65002.0,0.007963594994311717,0.5883630632811035,0.32718330255204725,1.5725707794660826,0.6359014252697223,0.26864434121735287,0.5905349117602056,0.14082074702244163,biased_low_missing_high_noise,biased_range
65002,75002,70002.0,0.005555555555555556,0.5651173684949982,0.313314552672249,1.5483004671764358,0.6458694686204248,0.27419984141518083,0.5842855777305429,0.14151458085427635,biased_low_missing_high_noise,biased_range
70002,80002,75002.0,0.009988901220865706,0.5728686260274061,0.31957274986446293,1.5592523122628101,0.6413330236135967,0.27167433607967595,0.587122718348758,0.14120294557156615,biased_low_missing_high_noise,biased_range
75002,85002,80002.0,0.010180995475113122,0.5858041767885142,0.3267737451974837,1.5718540540955965,0.6361913801058163,0.2688062569390376,0.590352341482333,0.14084140157862957,biased_low_missing_high_noise,biased_range
80002,90002,85002.0,0.009122006841505131,0.5971158488199492,0.33251861992964943,1.5819075848768867,0.6321481795523636,0.2665468144928686,0.5929023763167843,0.14055080919034707,biased_low_missing_high_noise,biased_range
85002,95002,90002.0,0.015909090909090907,0.6022799193254431,0.3384130465380846,1.592222831441648,0.6280527952827865,0.26425465312279245,0.5954945828716066,0.14025076400560105,biased_low_missing_high_noise,biased_range
90002,100002,95002.0,0.01366742596810934,0.598914803333894,0.33555348351929093,1.5872185961587593,0.6300329409068847,0.265363368766595,0.5942400733515136,0.14039655788189137,biased_low_missing_high_noise,biased_range
95002,105002,100002.0,0.00461361014994233,0.5855277995656,0.32411641432855404,1.5672037250749695,0.6380791367453925,0.26985995912376215,0.5891648631471248,0.140975177729113,biased_low_missing_high_noise,biased_range
100002,110002,105002.0,0.0023228803716608595,0.588111196574967,0.3245064542834793,1.5678862949960888,0.6378013528095127,0.26970495606954553,0.5893394758258004,0.1409555681046542,biased_low_missing_high_noise,biased_range
105002,115002,110002.0,0.0047169811320754715,0.612898436419996,0.3392167815404318,1.5936293676957556,0.627498476289948,0.2639441349546464,0.5958461567470947,0.1402097082982588,biased_low_missing_high_noise,biased_range
110002,120002,115002.0,0.00589622641509434,0.6122634105518493,0.3393981776903096,1.593946810958042,0.6273735065218079,0.26387412068448596,0.595925441595716,0.14020043771979795,biased_low_missing_high_noise,biased_range
115002,125002,120002.0,0.012761020881670533,0.5891370372222513,0.32976782986898995,1.5770937022707323,0.6340777333396102,0.2676255394544578,0.5916842762653981,0.14069018428014424,biased_low_missing_high_noise,biased_range
120002,130002,125002.0,0.01048951048951049,0.5863051791553898,0.32718812825574417,1.5725792244475523,0.6358980103856455,0.26864243417797906,0.5905370622242514,0.1408205035977696,biased_low_missing_high_noise,biased_range
125002,135002,130002.0,0.010688836104513063,0.5982135571412848,0.3338274326747375,1.5841980071807906,0.6312342241735182,0.26603558588467907,0.59348006578276,0.1404843483325609,biased_low_missing_high_noise,biased_range
130002,140002,135002.0,0.01762632197414806,0.5941651151648868,0.3347226582290544,1.585764651900845,0.6306106008866492,0.2656866552209393,0.5938745093353499,0.14043883544371086,biased_low_missing_high_noise,biased_range
135002,145002,140002.0,0.009456264775413711,0.5834757741443545,0.3251669949283312,1.5690422411245795,0.6373314712568032,0.26944272380254947,0.5896349377941629,0.14092233840328777,biased_low_missing_high_noise,biased_range
140002,150002,145002.0,0.004767580452920143,0.5733987914746388,0.31751474651486544,1.5556508064010144,0.6428177813975438,0.27250144441488316,0.5861928583352989,0.14130569724981806,biased_low_missing_high_noise,biased_range
145002,155002,150002.0,0.0058823529411764705,0.5856281893971315,0.3247425629919517,1.5682994852359156,0.6376333152016386,0.26961118299188386,0.5894451238414437,0.14094369316667255,biased_low_missing_high_noise,biased_range
150002,160002,155002.0,0.009580838323353293,0.6103983811526493,0.3400304868794662,1.595053352039066,0.6269382768429855,0.2636302583151238,0.5962016326100553,0.14016810907482102,biased_low_missing_high_noise,biased_range
155002,165002,160002.0,0.0072992700729927005,0.5976429376788085,0.33198828725619145,1.580979502698335,0.6325192694106729,0.26675433588056413,0.592667951691743,0.14057771242769299,biased_low_missing_high_noise,biased_range
160002,170002,165002.0,0.0036900369003690036,0.6018346082305728,0.3326695511319811,1.582171714480967,0.6320426479928893,0.2664877936143621,0.5929690566152763,0.14054314977036175,biased_low_missing_high_noise,biased_range
165002,175002,170002.0,0.009732360097323601,0.5885294518242119,0.3280707605471122,1.5741238309574463,0.6352740364725685,0.26829393357052816,0.5909301082512445,0.14077595817822747,biased_low_missing_high_noise,biased_range
170002,180002,175002.0,0.00591016548463357,0.5837368706522839,0.32371485332684125,1.5665009933219722,0.6383653788047513,0.27001966383156767,0.5889849789655605,0.14099535720287193,biased_low_missing_high_noise,biased_range
175002,185002,180002.0,0.021712907117008445,0.6221408875439024,0.35194829635180014,1.6159095186156502,0.6188465309967974,0.25908945443760434,0.6013555070295087,0.1395550385328869,biased_low_missing_high_noise,biased_range
180002,190002,185002.0,0.02902055622732769,0.6161221566671069,0.3519264364692063,1.615871263821111,0.6188611818216648,0.25909768759412466,0.6013461431039269,0.13955616930194856,biased_low_missing_high_noise,biased_range
