window_index,midpoint,anchor_mod30,z_center,empirical_pdf,exp_pdf,delta
8,6195.053268536115,11,5.766666666666667,0.0,0.003138533397696691,-0.003138533397696691
8,6195.053268536115,11,5.833333333333333,0.0,0.0029361199163002714,-0.0029361199163002714
8,6195.053268536115,11,5.9,0.0,0.002746760690589351,-0.002746760690589351
8,6195.053268536115,11,5.966666666666667,0.0,0.0025696138122566084,-0.0025696138122566084
8,6195.053268536115,17,0.03333333333333333,0.0,0.9697991161959337,-0.9697991161959337
8,6195.053268536115,17,0.1,0.0,0.9072538472787854,-0.9072538472787854
8,6195.053268536115,17,0.16666666666666669,0.0,0.8487423113261123,-0.8487423113261123
8,6195.053268536115,17,0.23333333333333334,5.100000000000002,0.7940043607374581,4.3059956392625445
8,6195.053268536115,17,0.3,0.0,0.7427966256154565,-0.7427966256154565
8,6195.053268536115,17,0.3666666666666667,0.0,0.694891431721175,-0.694891431721175
8,6195.053268536115,17,0.43333333333333335,0.0,0.6500757882137806,-0.6500757882137806
8,6195.053268536115,17,0.5,0.0,0.6081504406739263,-0.6081504406739263
8,6195.053268536115,17,0.5666666666666667,0.0,0.5689289852005146,-0.5689289852005146
8,6195.053268536115,17,0.6333333333333333,0.3000000000000001,0.5322370396420313,-0.23223703964203118
8,6195.053268536115,17,0.7,4.800000000000002,0.4979114682776703,4.302088531722331
8,6195.053268536115,17,0.7666666666666666,0.0,0.4657996565011093,-0.4657996565011093
8,6195.053268536115,17,0.8333333333333334,0.0,0.4357588322821159,-0.4357588322821159
8,6195.053268536115,17,0.9,0.0,0.4076554313891406,-0.4076554313891406
8,6195.053268536115,17,0.9666666666666667,0.0,0.38136450355061846,-0.38136450355061846
8,6195.053268536115,17,1.0333333333333332,0.0,0.35676915691471883,-0.35676915691471883
8,6195.053268536115,17,1.1,0.0,0.3337600383375607,-0.3337600383375607
8,6195.053268536115,17,1.1666666666666665,0.0,0.3122348471892086,-0.3122348471892086
8,6195.053268536115,17,1.2333333333333334,0.0,0.29209788051578434,-0.29209788051578434
8,6195.053268536115,17,1.2999999999999998,0.0,0.2732596075354472,-0.2732596075354472
8,6195.053268536115,17,1.3666666666666667,1.5000000000000007,0.2556362715764093,1.2443637284235913
8,6195.053268536115,17,1.4333333333333331,0.6000000000000002,0.23914951768717055,0.3608504823128297
8,6195.053268536115,17,1.5,0.0,0.2237260442632904,-0.2237260442632904
8,6195.053268536115,17,1.5666666666666667,0.8999999999999974,0.2092972771418011,0.6907027228581962
8,6195.053268536115,17,1.6333333333333333,0.3000000000000001,0.19579906471425323,0.10420093528574687
8,6195.053268536115,17,1.7000000000000002,0.0,0.18317139270284163,-0.18317139270284163
8,6195.053268536115,17,1.7666666666666666,0.0,0.17135811733147788,-0.17135811733147788
8,6195.053268536115,17,1.8333333333333335,0.0,0.16030671570546504,-0.16030671570546504
8,6195.053268536115,17,1.9,0.0,0.1499680522899403,-0.1499680522899403
8,6195.053268536115,17,1.9666666666666668,0.0,0.14029616044882603,-0.14029616044882603
8,6195.053268536115,17,2.033333333333333,0.0,0.13124803807299337,-0.13124803807299337
8,6195.053268536115,17,2.0999999999999996,0.0,0.12278345638898103,-0.12278345638898103
8,6195.053268536115,17,2.166666666666667,0.0,0.1148647810982167,-0.1148647810982167
8,6195.053268536115,17,2.2333333333333334,0.0,0.10745680505150948,-0.10745680505150948
8,6195.053268536115,17,2.3,0.5999999999999983,0.10052659171486797,0.4994734082851303
8,6195.053268536115,17,2.3666666666666667,0.0,0.09404332873068051,-0.09404332873068051
8,6195.053268536115,17,2.4333333333333336,0.0,0.08797819092317623,-0.08797819092317623
8,6195.053268536115,17,2.5,0.0,0.08230421213907665,-0.08230421213907665
8,6195.053268536115,17,2.5666666666666664,0.0,0.0769961653536303,-0.0769961653536303
8,6195.053268536115,17,2.6333333333333333,0.0,0.07203045050897056,-0.07203045050897056
8,6195.053268536115,17,2.7,0.29999999999999916,0.06738498958611619,0.23261501041388297
8,6195.053268536115,17,2.7666666666666666,0.0,0.06303912844409452,-0.06303912844409452
8,6195.053268536115,17,2.833333333333333,0.29999999999999916,0.05897354498975579,0.24102645501024336
8,6195.053268536115,17,2.9,0.0,0.05517016326999288,-0.05517016326999288
8,6195.053268536115,17,2.966666666666667,0.0,0.05161207310441313,-0.05161207310441313
8,6195.053268536115,17,3.033333333333333,0.0,0.04828345490114099,-0.04828345490114099
8,6195.053268536115,17,3.0999999999999996,0.0,0.0451695093214765,-0.0451695093214765
8,6195.053268536115,17,3.166666666666667,0.0,0.042256391480692004,-0.042256391480692004
8,6195.053268536115,17,3.2333333333333334,0.0,0.039531149392417926,-0.039531149392417926
8,6195.053268536115,17,3.3,0.0,0.036981666382935374,-0.036981666382935374
8,6195.053268536115,17,3.3666666666666667,0.3000000000000011,0.034596607219344995,0.2654033927806561
8,6195.053268536115,17,3.4333333333333336,0.0,0.03236536771209253,-0.03236536771209253
8,6195.053268536115,17,3.5,0.0,0.030278027567779357,-0.030278027567779357
8,6195.053268536115,17,3.5666666666666664,0.0,0.028325306282637477,-0.028325306282637477
8,6195.053268536115,17,3.6333333333333333,0.0,0.02649852188056732,-0.02649852188056732
8,6195.053268536115,17,3.7,0.0,0.024789552312283886,-0.024789552312283886
8,6195.053268536115,17,3.7666666666666666,0.0,0.02319079934394827,-0.02319079934394827
8,6195.053268536115,17,3.833333333333333,0.0,0.02169515477473027,-0.02169515477473027
8,6195.053268536115,17,3.9,0.0,0.020295968833102217,-0.020295968833102217
8,6195.053268536115,17,3.966666666666667,0.0,0.018987020611351133,-0.018987020611351133
