window_index,midpoint,anchor_residue,next_residue,transition_probability,global_transition_probability,delta_from_global
11,86504.81198754205,11,7,0.029411764705882353,0.04895967395967396,-0.019547909253791608
11,86504.81198754205,11,11,0.023755656108597284,0.03019090519090519,-0.0064352490823079075
11,86504.81198754205,11,13,0.31108597285067874,0.28716216216216217,0.023923810688516567
11,86504.81198754205,11,17,0.24321266968325791,0.21541184041184042,0.0278008292714175
11,86504.81198754205,11,19,0.14705882352941177,0.16092878592878593,-0.013869962399374158
11,86504.81198754205,11,23,0.1165158371040724,0.11599099099099099,0.0005248461130814147
11,86504.81198754205,11,29,0.06787330316742081,0.0851029601029601,-0.017229656935539295
11,86504.81198754205,13,1,0.059770114942528735,0.07907575188977645,-0.019305636947247712
11,86504.81198754205,13,7,0.041379310344827586,0.061062563662681604,-0.01968325331785402
11,86504.81198754205,13,11,0.04367816091954023,0.050876534605693455,-0.0071983736861532255
11,86504.81198754205,13,13,0.016091954022988506,0.02980753766150217,-0.013715583638513665
11,86504.81198754205,13,17,0.31264367816091954,0.28606658446362515,0.026577093697294385
11,86504.81198754205,13,19,0.2206896551724138,0.21379938883825658,0.006890266334157208
11,86504.81198754205,13,23,0.17586206896551723,0.1609392591004128,0.014922809865104442
11,86504.81198754205,13,29,0.12988505747126436,0.11837237977805179,0.01151267769321257
11,86504.81198754205,17,1,0.11604095563139932,0.13029717841433322,-0.014256222782933897
11,86504.81198754205,17,7,0.0671217292377702,0.07440188820941959,-0.007280158971649395
11,86504.81198754205,17,11,0.04550625711035267,0.05830919429245789,-0.01280293718210522
11,86504.81198754205,17,13,0.03185437997724687,0.043611200514966204,-0.011756820537719335
11,86504.81198754205,17,17,0.01820250284414107,0.029181418302757216,-0.010978915458616147
11,86504.81198754205,17,19,0.32878270762229805,0.2887565711833494,0.040026136438948645
11,86504.81198754205,17,23,0.22866894197952217,0.215266602295891,0.013402339683631165
11,86504.81198754205,17,29,0.16382252559726962,0.16017594678682545,0.0036465788104441677
11,86504.81198754205,19,1,0.13028571428571428,0.15973753563168935,-0.02945182134597507
11,86504.81198754205,19,7,0.09485714285714286,0.1069219598773732,-0.012064817020230337
11,86504.81198754205,19,11,0.09828571428571428,0.09675684397353843,0.0015288703121758562
11,86504.81198754205,19,13,0.04342857142857143,0.058624213413650296,-0.015195641985078868
11,86504.81198754205,19,17,0.036571428571428574,0.05007260797074168,-0.013501179399313105
11,86504.81198754205,19,19,0.025142857142857144,0.029312106706825148,-0.004169249563968004
11,86504.81198754205,19,23,0.3211428571428571,0.28634432313236163,0.034798534010495485
11,86504.81198754205,19,29,0.2502857142857143,0.21223040929382025,0.03805530499189402
11,86504.81198754205,23,1,0.2615039281705948,0.21654749744637386,0.04495643072422095
11,86504.81198754205,23,7,0.18742985409652077,0.18536637815171228,0.0020634759448084905
11,86504.81198754205,23,11,0.08866442199775533,0.10391914413203591,-0.015254722134280585
11,86504.81198754205,23,13,0.06846240179573512,0.07601741841836461,-0.007555016622629487
11,86504.81198754205,23,17,0.05499438832772166,0.059512929412397185,-0.0045185410846755245
11,86504.81198754205,23,19,0.031425364758698095,0.046932960593516475,-0.01550759583481838
11,86504.81198754205,23,23,0.02356902356902357,0.026772754153002527,-0.0032037305839789573
11,86504.81198754205,23,29,0.2839506172839506,0.28493091769259715,-0.0009803004086465505
11,86504.81198754205,29,1,0.32678983833718245,0.28678799591990123,0.04000184241728122
11,86504.81198754205,29,7,0.23325635103926096,0.2158157513287164,0.01744059971054457
11,86504.81198754205,29,11,0.15011547344110854,0.15928490900306008,-0.009169435561951544
11,86504.81198754205,29,13,0.1374133949191686,0.13550222794867664,0.0019111669704919565
11,86504.81198754205,29,17,0.06928406466512702,0.08299779889407849,-0.013713734228951474
11,86504.81198754205,29,19,0.04503464203233257,0.054973962527513826,-0.009939320495181259
11,86504.81198754205,29,23,0.020785219399538105,0.03983464862833521,-0.019049429228797106
11,86504.81198754205,29,29,0.017321016166281754,0.02480270574971815,-0.007481689583436396
12,212203.1770403073,1,1,0.018658598083711547,0.02815533980582524,-0.009496741722113695
12,212203.1770403073,1,7,0.3076147251638931,0.2790722761596548,0.0285424490042383
12,212203.1770403073,1,11,0.23096318709026728,0.21429341963322546,0.016669767457041823
12,212203.1770403073,1,13,0.15229450327786181,0.16251348435814456,-0.01021898108028274
12,212203.1770403073,1,17,0.10237014624306606,0.11558791801510249,-0.013217771772036424
12,212203.1770403073,1,19,0.0832072617246596,0.08511326860841424,-0.0019060068837546407
12,212203.1770403073,1,23,0.06908724155320221,0.06957928802588997,-0.0004920464726877599
12,212203.1770403073,1,29,0.03580433686333838,0.04568500539374326,-0.009880668530404882
12,212203.1770403073,7,1,0.02961847389558233,0.038926174496644296,-0.009307700601061966
12,212203.1770403073,7,7,0.028112449799196786,0.029798657718120805,-0.0016862079189240188
12,212203.1770403073,7,11,0.3002008032128514,0.2886979865771812,0.01150281663567021
12,212203.1770403073,7,13,0.2178714859437751,0.20880536912751677,0.009066116816258324
12,212203.1770403073,7,17,0.1686746987951807,0.16204026845637584,0.00663443033880487
12,212203.1770403073,7,19,0.11947791164658635,0.1181744966442953,0.0013034150022910446
12,212203.1770403073,7,23,0.08082329317269077,0.08424161073825503,-0.003418317565564266
